Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0111","Wheat","2000","2000","ha","2029000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0111","Wheat","2000","2000","kg/ha","724","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2000","2000","t","1469000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0111","Wheat","2001","2001","ha","1779000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0111","Wheat","2001","2001","kg/ha","897.7","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2001","2001","t","1597000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0111","Wheat","2002","2002","ha","1742000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0111","Wheat","2002","2002","kg/ha","1541.9","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2002","2002","t","2686000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0111","Wheat","2003","2003","ha","2320000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0111","Wheat","2003","2003","kg/ha","1500","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2003","2003","t","3480000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0111","Wheat","2004","2004","ha","1888000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0111","Wheat","2004","2004","kg/ha","1265.9","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2004","2004","t","2390000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0111","Wheat","2005","2005","ha","2342000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0111","Wheat","2005","2005","kg/ha","1821.5","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2005","2005","t","4266000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0111","Wheat","2006","2006","ha","2444000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0111","Wheat","2006","2006","kg/ha","1376","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2006","2006","t","3363000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0111","Wheat","2007","2007","ha","2466000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0111","Wheat","2007","2007","kg/ha","1818.3","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2007","2007","t","4484000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0111","Wheat","2008","2008","ha","2139000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0111","Wheat","2008","2008","kg/ha","1226.3","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2008","2008","t","2623000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0111","Wheat","2009","2009","ha","2575000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0111","Wheat","2009","2009","kg/ha","1966.6","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2009","2009","t","5064000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0111","Wheat","2010","2010","ha","2354000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0111","Wheat","2010","2010","kg/ha","1925.2","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2010","2010","t","4532000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0111","Wheat","2011","2011","ha","2232000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0111","Wheat","2011","2011","kg/ha","1517.9","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2011","2011","t","3388000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0111","Wheat","2012","2012","ha","2512000","A","Official figure",""
